SNo,Date,Price,Open,High,Low,Vol.,Change %
316,10-13-2020,0.25656,0.25596,0.25997,0.25277,129000000,0.19
315,10-14-2020,0.24912,0.25654,0.25831,0.24613,107000000,-2.9
314,10-15-2020,0.24585,0.24912,0.25002,0.24307,113000000,-1.31
313,10-16-2020,0.2402,0.24588,0.24784,0.23772,115000000,-2.3
312,10-17-2020,0.24059,0.24022,0.24316,0.23869,111000000,0.16
311,10-18-2020,0.24233,0.24057,0.2434,0.24007,112000000,0.72
310,10-19-2020,0.24558,0.24216,0.24942,0.24013,108000000,1.34
309,10-20-2020,0.24324,0.24564,0.25021,0.24155,104000000,-0.95
308,10-21-2020,0.25102,0.24324,0.25555,0.24261,112000000,3.2
307,10-22-2020,0.25718,0.25105,0.26354,0.25083,110000000,2.45
306,10-23-2020,0.25471,0.25701,0.25917,0.25022,765490000,-0.96
305,10-24-2020,0.25611,0.25471,0.2576,0.25256,726900000,0.55
304,10-25-2020,0.25319,0.25611,0.25708,0.25122,804280000,-1.14
303,10-26-2020,0.24818,0.25311,0.25904,0.24363,100000000,-1.98
302,10-27-2020,0.25265,0.24815,0.25396,0.24765,897910000,1.8
301,10-28-2020,0.24549,0.25268,0.25667,0.24431,990700000,-2.83
300,10-29-2020,0.24247,0.24552,0.24702,0.23962,982830000,-1.23
299,10-30-2020,0.23897,0.24248,0.24389,0.23138,972350000,-1.45
298,10-31-2020,0.23972,0.23914,0.24347,0.23745,872340000,0.31
297,11-01-2020,0.23989,0.23971,0.24132,0.23656,861220000,0.07
296,11-02-2020,0.23526,0.2399,0.24455,0.2329,108000000,-1.93
295,11-03-2020,0.23954,0.23528,0.24405,0.22803,103000000,1.82
294,11-04-2020,0.2375,0.23945,0.24039,0.23263,102000000,-0.85
293,11-05-2020,0.2455,0.23743,0.24722,0.23711,978750000,3.37
292,11-06-2020,0.25848,0.24567,0.26135,0.24512,107000000,5.29
291,11-07-2020,0.24897,0.25861,0.26725,0.24488,976550000,-3.68
290,11-08-2020,0.2538,0.24898,0.25693,0.24737,843460000,1.94
289,11-09-2020,0.25043,0.25366,0.25613,0.24562,100000000,-1.33
288,11-10-2020,0.25374,0.25054,0.26464,0.24807,107000000,1.32
287,11-11-2020,0.25569,0.25376,0.2599,0.25228,834930000,0.77
286,11-12-2020,0.25486,0.2558,0.25814,0.25237,738890000,-0.33
285,11-13-2020,0.26548,0.25489,0.2656,0.25374,942550000,4.16
284,11-14-2020,0.26808,0.26557,0.2771,0.26154,105000000,0.98
283,11-15-2020,0.26941,0.26813,0.27666,0.26412,885340000,0.5
282,11-16-2020,0.28778,0.26949,0.28985,0.26748,107000000,6.82
281,11-17-2020,0.30226,0.28792,0.30487,0.28731,147000000,5.03
280,11-18-2020,0.29326,0.30226,0.30782,0.28225,135000000,-2.98
279,11-19-2020,0.30374,0.29319,0.30705,0.28399,118000000,3.57
278,11-20-2020,0.32995,0.30358,0.3305,0.29717,145000000,8.63
277,11-21-2020,0.46343,0.3299,0.46804,0.32951,331000000,40.45
276,11-22-2020,0.44604,0.46288,0.49544,0.41077,384000000,-3.75
275,11-23-2020,0.6151,0.44605,0.6189,0.43287,349000000,37.9
274,11-24-2020,0.69224,0.61546,0.77883,0.57752,530000000,12.54
273,11-25-2020,0.63224,0.6923,0.72288,0.58702,320000000,-8.67
272,11-26-2020,0.53593,0.63206,0.65095,0.4593,459000000,-15.23
271,11-27-2020,0.5612,0.53659,0.58549,0.50451,248000000,4.72
270,11-28-2020,0.62597,0.56135,0.64838,0.54032,250000000,11.54
269,11-29-2020,0.60534,0.62578,0.63606,0.58501,177000000,-3.3
268,11-30-2020,0.66386,0.60533,0.67687,0.59974,227000000,9.67
267,12-01-2020,0.61084,0.66388,0.67952,0.58734,204000000,-7.99
266,12-02-2020,0.63065,0.61132,0.63644,0.59552,120000000,3.24
265,12-03-2020,0.63032,0.6305,0.64141,0.61515,897530000,-0.05
264,12-04-2020,0.55351,0.63027,0.63388,0.544,132000000,-12.19
263,12-05-2020,0.58532,0.55359,0.59567,0.54901,987020000,5.75
262,12-06-2020,0.62135,0.58546,0.62717,0.58032,129000000,6.16
261,12-07-2020,0.60808,0.62158,0.62318,0.59144,898960000,-2.13
260,12-08-2020,0.55898,0.60813,0.61018,0.55189,118000000,-8.08
259,12-09-2020,0.58285,0.55916,0.60371,0.50412,182000000,4.27
258,12-10-2020,0.57136,0.58285,0.5879,0.55403,115000000,-1.97
257,12-11-2020,0.54787,0.57185,0.58519,0.52768,169000000,-4.11
256,12-12-2020,0.50589,0.54666,0.54739,0.48577,215000000,-7.66
255,12-13-2020,0.51416,0.50589,0.52755,0.48652,128000000,1.63
254,12-14-2020,0.49747,0.51392,0.5181,0.48986,869690000,-3.25
253,12-15-2020,0.46783,0.49735,0.50706,0.46489,126000000,-5.96
252,12-16-2020,0.5712,0.46777,0.57337,0.43985,250000000,22.1
251,12-17-2020,0.5779,0.57087,0.65864,0.54263,345000000,1.17
250,12-18-2020,0.58348,0.57794,0.61238,0.5516,196000000,0.97
249,12-19-2020,0.57659,0.58344,0.60299,0.56653,150000000,-1.18
248,12-20-2020,0.55634,0.57665,0.58642,0.534,123000000,-3.51
247,12-21-2020,0.51448,0.55604,0.56909,0.50019,157000000,-7.53
246,12-22-2020,0.44732,0.51439,0.5215,0.40335,296000000,-13.05
245,12-23-2020,0.26041,0.44685,0.44785,0.21523,838000000,-41.78
244,12-24-2020,0.33782,0.2604,0.37492,0.24245,651000000,29.72
243,12-25-2020,0.3182,0.33781,0.38265,0.28206,600000000,-5.81
242,12-26-2020,0.29461,0.31803,0.32559,0.28462,300000000,-7.42
241,12-27-2020,0.28388,0.29463,0.30993,0.26792,281000000,-3.64
240,12-28-2020,0.24929,0.28394,0.3082,0.23734,276000000,-12.19
239,12-29-2020,0.22151,0.24923,0.24996,0.17428,762000000,-11.14
238,12-30-2020,0.21131,0.22152,0.23525,0.19217,472000000,-4.61
237,12-31-2020,0.21925,0.2113,0.2285,0.20543,281000000,3.76
236,01-01-2021,0.2372,0.21928,0.24997,0.21643,298000000,8.18
235,01-02-2021,0.22097,0.23727,0.23806,0.2114,248000000,-6.84
234,01-03-2021,0.22479,0.22087,0.23783,0.21542,249000000,1.73
233,01-04-2021,0.23575,0.22495,0.25988,0.21767,314000000,4.87
232,01-05-2021,0.22544,0.2357,0.24183,0.21821,246000000,-4.37
231,01-06-2021,0.24871,0.22547,0.27192,0.22162,353000000,10.32
230,01-07-2021,0.32348,0.24868,0.36878,0.2457,731000000,30.06
229,01-08-2021,0.3208,0.32355,0.34591,0.28574,383000000,-0.83
228,01-09-2021,0.32432,0.32072,0.33904,0.30626,238000000,1.1
227,01-10-2021,0.31521,0.32433,0.36658,0.28928,331000000,-2.81
226,01-11-2021,0.28754,0.31501,0.31567,0.25579,379000000,-8.78
225,01-12-2021,0.29246,0.2875,0.30897,0.27787,238000000,1.71
224,01-13-2021,0.30575,0.29256,0.30989,0.28544,125000000,4.54
223,01-14-2021,0.2966,0.30572,0.30864,0.28358,148000000,-2.99
222,01-15-2021,0.28037,0.2966,0.30301,0.26257,140000000,-5.47
221,01-16-2021,0.27951,0.28022,0.29628,0.27543,118000000,-0.31
220,01-17-2021,0.27742,0.27923,0.28538,0.26876,900720000,-0.75
219,01-18-2021,0.28539,0.27742,0.28863,0.27171,904130000,2.87
218,01-19-2021,0.29455,0.28539,0.32793,0.28409,207000000,3.21
217,01-20-2021,0.29531,0.29453,0.31044,0.28041,150000000,0.26
216,01-21-2021,0.2681,0.29531,0.3072,0.26051,163000000,-9.21
215,01-22-2021,0.27261,0.2681,0.27818,0.24165,149000000,1.68
214,01-23-2021,0.27166,0.27246,0.28303,0.26572,798560000,-0.35
213,01-24-2021,0.2732,0.27163,0.27781,0.26863,645080000,0.57
212,01-25-2021,0.26758,0.2732,0.2839,0.26709,837930000,-2.06
211,01-26-2021,0.26841,0.26758,0.27082,0.25809,636910000,0.31
210,01-27-2021,0.25073,0.26841,0.26861,0.24441,773600000,-6.59
209,01-28-2021,0.26415,0.25073,0.26998,0.24728,765960000,5.35
208,01-29-2021,0.28278,0.26414,0.31664,0.26038,305000000,7.05
207,01-30-2021,0.44304,0.28278,0.50882,0.27879,931000000,56.67
206,01-31-2021,0.49493,0.44329,0.50775,0.39005,696000000,11.71
205,02-01-2021,0.37163,0.49493,0.75358,0.36151,1339000000,-24.91
204,02-02-2021,0.3723,0.37163,0.41071,0.34132,353000000,0.18
203,02-03-2021,0.39726,0.3723,0.41699,0.3723,225000000,6.7
202,02-04-2021,0.44427,0.39726,0.47971,0.38069,359000000,11.83
201,02-05-2021,0.45182,0.44454,0.47078,0.42631,241000000,1.7
200,02-06-2021,0.44274,0.45182,0.45593,0.42685,131000000,-2.01
199,02-07-2021,0.41842,0.44275,0.45029,0.39789,175000000,-5.49
198,02-08-2021,0.45084,0.41842,0.46672,0.4128,182000000,7.75
197,02-09-2021,0.47643,0.45084,0.48937,0.44989,199000000,5.68
196,02-10-2021,0.50472,0.47644,0.53982,0.45342,336000000,5.94
195,02-11-2021,0.52817,0.50472,0.53505,0.5015,153000000,4.65
194,02-12-2021,0.60892,0.52817,0.61897,0.51961,258000000,15.29
193,02-13-2021,0.63303,0.60892,0.64209,0.54769,248000000,3.96
192,02-14-2021,0.59252,0.63352,0.63792,0.5652,159000000,-6.4
191,02-15-2021,0.54939,0.59245,0.60394,0.51117,203000000,-7.28
190,02-16-2021,0.51956,0.54939,0.57897,0.48621,178000000,-5.43
189,02-17-2021,0.53396,0.51987,0.55588,0.49378,141000000,2.77
188,02-18-2021,0.53061,0.53435,0.55951,0.52141,112000000,-0.63
187,02-19-2021,0.56325,0.53193,0.57905,0.51489,160000000,6.15
186,02-20-2021,0.512,0.56483,0.58113,0.4752,190000000,-9.1
185,02-21-2021,0.54393,0.512,0.55726,0.50521,148000000,6.24
184,02-22-2021,0.56581,0.54393,0.64615,0.51627,543000000,4.02
183,02-23-2021,0.4749,0.56581,0.5706,0.3672,422000000,-16.07
182,02-24-2021,0.46923,0.47613,0.49934,0.45168,156000000,-1.19
181,02-25-2021,0.43561,0.46849,0.48146,0.42599,108000000,-7.17
180,02-26-2021,0.42783,0.43592,0.45033,0.413,142000000,-1.79
179,02-27-2021,0.43574,0.42784,0.45794,0.42778,896320000,1.85
178,02-28-2021,0.41528,0.43578,0.43789,0.3934,105000000,-4.69
177,03-01-2021,0.44551,0.41566,0.45262,0.41226,927260000,7.28
176,03-02-2021,0.43582,0.44546,0.45414,0.42297,920490000,-2.18
175,03-03-2021,0.44844,0.43582,0.46723,0.4314,917030000,2.9
174,03-04-2021,0.48088,0.44844,0.4938,0.43623,183000000,7.23
173,03-05-2021,0.45501,0.48091,0.48278,0.44664,117000000,-5.38
172,03-06-2021,0.46296,0.45498,0.47019,0.44991,575650000,1.75
171,03-07-2021,0.46532,0.46296,0.46863,0.45734,505070000,0.51
170,03-08-2021,0.47358,0.46532,0.48757,0.45533,100000000,1.77
169,03-09-2021,0.48499,0.47403,0.48656,0.47178,685950000,2.41
168,03-10-2021,0.46158,0.48499,0.48804,0.456,867450000,-4.83
167,03-11-2021,0.45155,0.46158,0.4641,0.44103,752190000,-2.17
166,03-12-2021,0.43941,0.45189,0.46385,0.42505,969060000,-2.69
165,03-13-2021,0.4577,0.43938,0.46506,0.43274,815650000,4.16
164,03-14-2021,0.4393,0.45768,0.4615,0.4393,609220000,-4.02
163,03-15-2021,0.43568,0.43909,0.4481,0.42346,805420000,-0.83
162,03-16-2021,0.46037,0.43568,0.51976,0.42752,230000000,5.67
161,03-17-2021,0.47,0.46037,0.48159,0.45443,913270000,2.09
160,03-18-2021,0.46885,0.46999,0.4903,0.46582,837870000,-0.24
159,03-19-2021,0.46669,0.46885,0.47489,0.45977,529830000,-0.46
158,03-20-2021,0.52446,0.46655,0.54965,0.46472,185000000,12.38
157,03-21-2021,0.5167,0.5246,0.54625,0.49578,139000000,-1.48
156,03-22-2021,0.54414,0.51653,0.59954,0.5024,271000000,5.31
155,03-23-2021,0.55045,0.54408,0.59555,0.53828,177000000,1.16
154,03-24-2021,0.48213,0.55045,0.56235,0.45393,156000000,-12.41
153,03-25-2021,0.51085,0.48011,0.5239,0.46029,156000000,5.96
152,03-26-2021,0.56304,0.51085,0.5752,0.51046,130000000,10.22
151,03-27-2021,0.54789,0.56344,0.57414,0.53451,738340000,-2.69
150,03-28-2021,0.54565,0.54789,0.55989,0.54026,531130000,-0.41
149,03-29-2021,0.56537,0.54556,0.57002,0.54371,835170000,3.61
148,03-30-2021,0.56225,0.56537,0.58537,0.55924,899980000,-0.55
147,03-31-2021,0.56957,0.56225,0.57594,0.53095,116000000,1.3
146,04-01-2021,0.57052,0.56957,0.59179,0.5507,113000000,0.17
145,04-02-2021,0.60676,0.57056,0.60902,0.56574,127000000,6.35
144,04-03-2021,0.57886,0.60676,0.64142,0.57467,159000000,-4.6
143,04-04-2021,0.63489,0.57886,0.63561,0.56884,100000000,9.68
142,04-05-2021,0.91324,0.63489,0.93557,0.61963,522000000,43.84
141,04-06-2021,1.09057,0.91333,1.11471,0.81318,643000000,19.42
140,04-07-2021,0.91658,1.09138,1.10128,0.85966,388000000,-15.95
139,04-08-2021,1.05784,0.91658,1.07201,0.90415,203000000,15.41
138,04-09-2021,1.01916,1.05784,1.08335,0.9849,161000000,-3.66
137,04-10-2021,1.37431,1.01909,1.3953,1.00711,431000000,34.85
136,04-11-2021,1.35498,1.37428,1.49007,1.3084,315000000,-1.41
135,04-12-2021,1.46773,1.35479,1.4719,1.3197,178000000,8.32
134,04-13-2021,1.79627,1.46844,1.88626,1.42122,405000000,22.38
133,04-14-2021,1.83625,1.79613,1.96332,1.57032,358000000,2.23
132,04-15-2021,1.7578,1.83563,1.88408,1.65854,184000000,-4.27
131,04-16-2021,1.54747,1.7584,1.80402,1.44072,286000000,-11.97
130,04-17-2021,1.54064,1.54768,1.73876,1.53308,174000000,-0.44
129,04-18-2021,1.40794,1.53957,1.56266,1.16193,348000000,-8.61
128,04-19-2021,1.30918,1.40811,1.53084,1.25649,264000000,-7.02
127,04-20-2021,1.38614,1.30944,1.44517,1.18308,245000000,5.88
126,04-21-2021,1.29046,1.38614,1.46239,1.28289,200000000,-6.9
125,04-22-2021,1.15886,1.29067,1.41758,1.10427,274000000,-10.2
124,04-23-2021,1.17023,1.15859,1.19593,0.89374,424000000,0.98
123,04-24-2021,1.05015,1.17025,1.17095,1.02325,169000000,-10.26
122,04-25-2021,1.03384,1.05015,1.15362,0.95088,174000000,-1.55
121,04-26-2021,1.36699,1.03384,1.36882,1.01794,294000000,32.23
120,04-27-2021,1.40174,1.36672,1.45828,1.3324,240000000,2.54
119,04-28-2021,1.35801,1.4018,1.44663,1.28765,177000000,-3.12
118,04-29-2021,1.39814,1.3579,1.41707,1.32815,137000000,2.96
117,04-30-2021,1.59707,1.39814,1.63523,1.37604,226000000,14.23
116,05-01-2021,1.65073,1.59851,1.66456,1.52915,111000000,3.36
115,05-02-2021,1.56112,1.65073,1.65348,1.53209,947880000,-5.43
114,05-03-2021,1.55474,1.56112,1.61913,1.52413,105000000,-0.41
113,05-04-2021,1.39664,1.55463,1.55703,1.35493,218000000,-10.17
112,05-05-2021,1.61396,1.39752,1.62073,1.39752,201000000,15.56
111,05-06-2021,1.60294,1.61386,1.76001,1.54527,237000000,-0.68
110,05-07-2021,1.58103,1.60296,1.68963,1.51153,144000000,-1.37
109,05-08-2021,1.56237,1.58091,1.62614,1.54152,796720000,-1.18
108,05-09-2021,1.53447,1.56235,1.59317,1.44818,116000000,-1.79
107,05-10-2021,1.39101,1.53451,1.62613,1.23689,190000000,-9.35
106,05-11-2021,1.47796,1.39107,1.48676,1.3587,118000000,6.25
105,05-12-2021,1.26829,1.4781,1.54351,1.24312,165000000,-14.19
104,05-13-2021,1.3614,1.26899,1.38878,1.20537,214000000,7.34
103,05-14-2021,1.40342,1.36156,1.4433,1.32248,119000000,3.09
102,05-15-2021,1.48591,1.4023,1.57989,1.32462,230000000,5.88
101,05-16-2021,1.44967,1.48591,1.60866,1.34889,221000000,-2.44
100,05-17-2021,1.4959,1.44832,1.56263,1.32635,240000000,3.19
99,05-18-2021,1.59055,1.4959,1.69982,1.47421,267000000,6.33
98,05-19-2021,1.0617,1.59055,1.64286,0.87542,503000000,-33.25
97,05-20-2021,1.17955,1.06159,1.26452,0.91194,304000000,11.1
96,05-21-2021,1.006,1.17959,1.21581,0.8673,273000000,-14.71
95,05-22-2021,0.90502,1.00572,1.01342,0.82006,228000000,-10.04
94,05-23-2021,0.79153,0.90502,0.96587,0.6507,315000000,-12.54
93,05-24-2021,0.99142,0.79146,0.99562,0.75667,234000000,25.25
92,05-25-2021,0.97434,0.99151,1.0527,0.88075,242000000,-1.72
91,05-26-2021,1.03167,0.97436,1.06643,0.9489,168000000,5.88
90,05-27-2021,0.9705,1.03167,1.0403,0.93389,141000000,-5.93
89,05-28-2021,0.89918,0.97062,0.98301,0.84733,174000000,-7.35
